,me_ce,ee_ce,l_chemo,lin_sat_cf,ve_dir,ve_der,ve_sec,n_regions,mean_l_area,std_l_area,len_network,mean_n_width,std_n_width
sim_100,4.0,1.0,500.0,0.1,1.0,0.21,0.3,31.0,764.1612903225806,611.2995726596077,3286.0,2.3336948078016078,1.0864926282296885
sim_101,4.0,1.0,500.0,0.1,1.0,0.23,0.3,40.0,567.45,391.16601015425664,3308.0,2.185021087191319,0.8295769785874619
sim_102,4.0,1.0,500.0,0.1,1.0,0.25,0.3,45.0,489.8666666666667,418.93826646787846,3414.0,2.1510319345619444,0.8432565057439328
sim_103,4.0,1.0,500.0,0.1,1.0,0.31,0.3,56.0,397.82142857142856,277.84676578125226,3847.0,1.9652041649733298,0.7049493699168468
sim_104,4.0,1.0,500.0,0.1,1.0,0.29,0.3,51.0,461.96078431372547,329.8111141413363,3657.0,2.0714029782616032,0.7913036423850236
sim_105,4.0,1.0,500.0,0.1,1.0,0.27,0.3,56.0,413.5892857142857,277.1294679893519,3717.0,2.020461650239873,0.7237877443873334
sim_106,4.0,1.0,500.0,0.1,1.0,0.33,0.3,61.0,366.0983606557377,268.3045556591921,3807.0,2.0007898397443484,0.7293195452277959
sim_107,4.0,1.0,500.0,0.1,1.0,0.35,0.3,62.0,373.88709677419354,292.4952221743068,4014.0,1.9241181392031417,0.7014907460601134
sim_108,4.0,1.0,500.0,0.1,1.0,0.37,0.3,66.0,332.40909090909093,249.73446366410423,4097.0,1.8954715637478554,0.6910013669128976
sim_109,4.0,1.0,500.0,0.1,1.0,0.39,0.3,71.0,339.15492957746477,264.8041874422813,4271.0,1.8393486964298378,0.647444648156702
sim_70,4.0,1.0,500.0,0.35,1.0,0.3,0.3,0.0,0.0,0.0,1424.0,11.005263768956228,7.8248495512242835
sim_71,4.0,1.0,500.0,0.43,1.0,0.3,0.3,0.0,0.0,0.0,1460.0,7.984413938655881,5.3915036991909275
sim_72,4.0,1.0,500.0,0.31,1.0,0.3,0.3,3.0,2311.6666666666665,2853.592161157971,1664.0,8.164402539714091,5.569111879918428
sim_73,4.0,1.0,500.0,0.41,1.0,0.3,0.3,0.0,0.0,0.0,1657.0,8.3529397996231,5.799790505566472
sim_74,4.0,1.0,500.0,0.37,1.0,0.3,0.3,0.0,0.0,0.0,1450.0,8.70125508995325,6.24830083365378
sim_75,4.0,1.0,500.0,0.39,1.0,0.3,0.3,0.0,0.0,0.0,1527.0,8.26258361062824,5.831528601476065
sim_76,4.0,1.0,500.0,0.29,1.0,0.3,0.3,4.0,1091.0,1745.1379601624624,1808.0,6.812214882320156,5.1022975987760955
sim_77,4.0,1.0,500.0,0.33,1.0,0.3,0.3,0.0,0.0,0.0,1734.0,8.773755451153946,6.680498366185066
sim_78,4.0,1.0,500.0,0.25,1.0,0.3,0.3,7.0,2444.4285714285716,1298.353997198305,1936.0,5.4819951658320125,4.118518157263824
sim_79,4.0,1.0,500.0,0.27,1.0,0.3,0.3,11.0,1425.6363636363637,1014.4609202318667,2235.0,5.009371823357407,3.5302681892351453
sim_80,4.0,1.0,500.0,0.47,1.0,0.3,0.3,0.0,0.0,0.0,1676.0,9.448822569496224,6.9388870148484685
sim_81,4.0,1.0,500.0,0.63,1.0,0.3,0.3,0.0,0.0,0.0,1648.0,9.494641175343387,6.308163736633108
sim_82,4.0,1.0,500.0,0.49,1.0,0.3,0.3,0.0,0.0,0.0,1579.0,8.436638699151239,6.297647673432657
sim_83,4.0,1.0,500.0,0.45,1.0,0.3,0.3,0.0,0.0,0.0,1638.0,8.894548958344496,6.28567493991882
sim_84,4.0,1.0,500.0,0.59,1.0,0.3,0.3,0.0,0.0,0.0,1529.0,10.222533777721035,6.847836923265832
