,me_ce,ee_ce,l_chemo,lin_sat_cf,ve_dir,ve_der,ve_sec,n_regions,mean_l_area,std_l_area,len_network,mean_n_width,std_n_width
sim_279,4.0,13.96,349.7,0.1,1.0,0.3,0.3,55.0,369.94545454545454,355.6148794402996,4709.0,1.865369452780753,0.7336450005532132
sim_200,4.0,4.05,81.58,0.1,1.0,0.3,0.3,22.0,809.6363636363636,703.766654603805,2463.0,4.4922117164212745,2.047422300537784
sim_201,4.0,6.03,113.41,0.1,1.0,0.3,0.3,35.0,488.51428571428573,351.65343096606364,3041.0,3.507649802552905,1.5403944599291204
sim_202,4.0,7.41,147.63,0.1,1.0,0.3,0.3,42.0,469.76190476190476,293.88690807728915,3413.0,2.9410224173403856,1.1935306755782686
sim_203,4.0,11.43,195.27,0.1,1.0,0.3,0.3,55.0,386.90909090909093,292.84766581262147,4234.0,2.346820330509523,1.03161720269063
sim_204,4.0,1.52,187.74,0.1,1.0,0.3,0.3,28.0,711.6785714285714,685.1216812451967,3042.0,3.371354681920389,1.4372165947822215
sim_205,4.0,9.57,408.71,0.1,1.0,0.3,0.3,65.0,352.4307692307692,279.26204783490857,4301.0,1.8954658291526723,0.6865714919141525
sim_206,4.0,4.88,586.41,0.1,1.0,0.3,0.3,66.0,361.8333333333333,278.5689938658542,3996.0,1.781948495337982,0.6393306218591345
sim_207,4.0,2.52,554.08,0.1,1.0,0.3,0.3,53.0,407.60377358490564,291.6495273066851,3856.0,1.9289086972522727,0.7209131722890718
sim_208,4.0,12.73,514.57,0.1,1.0,0.3,0.3,61.0,354.344262295082,306.0583296621795,4487.0,1.6965898364388095,0.6037440927801503
sim_209,4.0,12.32,569.04,0.1,1.0,0.3,0.3,66.0,368.1212121212121,327.3286049379919,4548.0,1.6233249221454626,0.5637043082906168
sim_80,4.0,4.18,34.96,0.1,1.0,0.3,0.3,8.0,1025.0,1532.0784085679165,2094.0,5.726857441479761,2.536298042604263
sim_81,4.0,5.48,43.16,0.1,1.0,0.3,0.3,14.0,915.8571428571429,685.4700011298668,2575.0,4.38794533167845,1.940251669990344
sim_82,4.0,13.12,184.27,0.1,1.0,0.3,0.3,49.0,378.6734693877551,289.0395345993913,4489.0,2.1604991346460274,0.910012254903519
sim_83,4.0,8.19,579.37,0.1,1.0,0.3,0.3,66.0,369.1363636363636,273.13155262862307,4192.0,1.7170757659061213,0.60758567800981
sim_84,4.0,6.08,566.69,0.1,1.0,0.3,0.3,59.0,388.7457627118644,310.52823192268437,3967.0,1.7950958038478517,0.6372327991690323
sim_85,4.0,13.86,315.85,0.1,1.0,0.3,0.3,63.0,324.1587301587302,282.61282092426103,4735.0,1.8708625658263962,0.735277876356968
sim_86,4.0,11.97,466.37,0.1,1.0,0.3,0.3,64.0,340.890625,253.85244958855404,4387.0,1.7819998078228252,0.6606907328904703
sim_87,4.0,14.89,404.53,0.1,1.0,0.3,0.3,59.0,368.22033898305085,408.9820379710286,4798.0,1.7298308771156048,0.6489921139137096
sim_88,4.0,13.57,465.98,0.1,1.0,0.3,0.3,64.0,332.578125,285.46238832197207,4620.0,1.7396720328279691,0.6534557534060017
sim_89,4.0,1.13,504.98,0.1,1.0,0.3,0.3,61.0,358.57377049180326,292.4821114897817,3885.0,1.9822564146212873,0.7670015803925555
sim_260,4.0,6.29,19.52,0.1,1.0,0.3,0.3,10.0,1202.0,2112.481195182575,2450.0,4.523323928513589,2.0478833834039745
sim_261,4.0,4.48,182.96,0.1,1.0,0.3,0.3,36.0,563.4722222222222,379.38147659572235,3248.0,3.0705279489272153,1.2576606583675893
sim_262,4.0,9.04,11.53,0.1,1.0,0.3,0.3,0.0,0.0,0.0,3144.0,2.193598146643383,0.9315763791432108
sim_263,4.0,2.37,515.99,0.1,1.0,0.3,0.3,58.0,424.1034482758621,319.859650776721,3824.0,1.9533770731232516,0.7052240939933503
sim_264,4.0,2.18,561.85,0.1,1.0,0.3,0.3,55.0,457.0,334.1798644714876,3823.0,1.8878759309887698,0.6788034058197793
sim_265,4.0,14.15,300.77,0.1,1.0,0.3,0.3,52.0,367.36538461538464,339.7304943654236,4701.0,1.9229843547666177,0.8067096100160632
sim_266,4.0,1.77,495.27,0.1,1.0,0.3,0.3,55.0,421.03636363636366,320.7329653174465,3787.0,2.0083317875988476,0.7454690516157262
sim_267,4.0,12.37,492.56,0.1,1.0,0.3,0.3,61.0,370.1803278688525,297.87556584547406,4550.0,1.717232028655263,0.65458139075532
sim_268,4.0,13.99,430.51,0.1,1.0,0.3,0.3,68.0,343.3529411764706,372.60252298985887,4718.0,1.745025367076315,0.6470257313284887
sim_269,4.0,1.32,590.67,0.1,1.0,0.3,0.3,52.0,432.5769230769231,351.09709078795186,3808.0,1.8549445437952528,0.685297322420343
sim_280,4.0,8.83,119.66,0.1,1.0,0.3,0.3,50.0,400.9,243.77704978114735,3635.0,2.8005151222035773,1.104213912836731
sim_281,4.0,10.17,201.28,0.1,1.0,0.3,0.3,54.0,385.72222222222223,268.06290145374925,4134.0,2.352972655281563,0.9495231369532126
sim_282,4.0,10.68,262.34,0.1,1.0,0.3,0.3,63.0,334.0952380952381,275.9906666403093,4304.0,2.1380505742494784,0.8536353281993375
sim_283,4.0,2.96,309.19,0.1,1.0,0.3,0.3,42.0,512.3571428571429,403.70733278480054,3607.0,2.44498078608977,1.0113855208373401
sim_284,4.0,10.2,275.47,0.1,1.0,0.3,0.3,59.0,346.3728813559322,252.66658531031712,4390.0,2.1344970304561657,0.8718345873517186
sim_285,4.0,3.58,346.57,0.1,1.0,0.3,0.3,49.0,450.53061224489795,333.2190002447564,3754.0,2.3030999500466867,0.932279809965536
sim_286,4.0,6.63,392.68,0.1,1.0,0.3,0.3,61.0,359.42622950819674,318.805529860117,4028.0,2.040235939804442,0.7578122559007895
sim_287,4.0,7.36,380.75,0.1,1.0,0.3,0.3,62.0,368.258064516129,262.1569300692825,4102.0,2.0163194575318073,0.7311982439768486
sim_288,4.0,14.23,454.99,0.1,1.0,0.3,0.3,55.0,400.94545454545454,409.5252425645098,4774.0,1.7021964389236102,0.6411501974834299
sim_289,4.0,14.38,497.94,0.1,1.0,0.3,0.3,59.0,361.7457627118644,477.37944944585945,4719.0,1.6623688222201882,0.5963412840766618
sim_10,4.0,5.2,186.39,0.1,1.0,0.3,0.3,37.0,547.6216216216217,418.0235575510555,3334.0,3.052587244031284,1.31301281763323
sim_11,4.0,8.16,161.85,0.1,1.0,0.3,0.3,48.0,430.25,304.30340533750194,3604.0,2.7413330832643803,1.119680035389642
sim_12,4.0,7.24,180.0,0.1,1.0,0.3,0.3,45.0,458.2,298.2503497250441,3618.0,2.7179186135903413,1.111468285089775
sim_13,4.0,11.31,70.72,0.1,1.0,0.3,0.3,19.0,17.94736842105263,9.77361477173984,4313.0,2.1370010862191617,0.8473175140412647
sim_14,4.0,7.46,323.28,0.1,1.0,0.3,0.3,58.0,347.9655172413793,240.7565636672662,4074.0,2.1346746643692254,0.7901346881761319
sim_15,4.0,7.32,521.48,0.1,1.0,0.3,0.3,61.0,398.40983606557376,342.50884287013,3997.0,1.8678768299018258,0.6861165630986383
sim_16,4.0,12.43,396.55,0.1,1.0,0.3,0.3,68.0,340.61764705882354,325.8755640087073,4484.0,1.842895185452314,0.6956854115294616
sim_17,4.0,11.06,458.8,0.1,1.0,0.3,0.3,64.0,351.625,290.2281699370342,4377.0,1.8120266955775384,0.6983089101686009
sim_18,4.0,13.81,559.39,0.1,1.0,0.3,0.3,62.0,379.56451612903226,289.67204041632914,4611.0,1.6215095212376582,0.5790998386565317
sim_19,4.0,14.43,355.87,0.1,1.0,0.3,0.3,59.0,354.4406779661017,375.454403613489,4786.0,1.811595505647267,0.7179465556172238
sim_290,4.0,6.42,129.79,0.1,1.0,0.3,0.3,37.0,521.8378378378378,354.87451253841704,3307.0,3.1820941669848155,1.347334732864762
sim_291,4.0,10.59,117.74,0.1,1.0,0.3,0.3,49.0,408.9183673469388,281.11613089681583,3986.0,2.6208840008591126,1.1406412177843508
sim_292,4.0,10.63,91.54,0.1,1.0,0.3,0.3,31.0,523.4193548387096,598.5370753705505,4114.0,2.637578176454187,1.2061106900029432
sim_293,4.0,11.25,174.04,0.1,1.0,0.3,0.3,52.0,374.59615384615387,250.33448851297587,4187.0,2.3306595665439227,0.9397066958118507
sim_294,4.0,6.82,362.68,0.1,1.0,0.3,0.3,56.0,400.9642857142857,292.35057015054196,4003.0,2.102224480701252,0.816142239930062
sim_295,4.0,6.35,477.27,0.1,1.0,0.3,0.3,62.0,374.93548387096774,275.19816150500276,4066.0,1.9326578143233493,0.7198291388682577
sim_296,4.0,12.18,268.73,0.1,1.0,0.3,0.3,61.0,333.24590163934425,277.67357033670186,4444.0,2.0677844149780027,0.8611587227958305
sim_297,4.0,6.76,527.57,0.1,1.0,0.3,0.3,65.0,368.5846153846154,336.4211596888497,4094.0,1.8284145887247814,0.637216746574154
sim_298,4.0,9.69,593.66,0.1,1.0,0.3,0.3,67.0,355.85074626865674,278.91700224481497,4285.0,1.6688881435592609,0.5950929211678463
sim_299,4.0,11.16,547.99,0.1,1.0,0.3,0.3,68.0,330.02941176470586,245.4554572379463,4351.0,1.7058637726632562,0.6170628416532914
sim_60,4.0,3.84,46.69,0.1,1.0,0.3,0.3,6.0,783.5,656.4225646131715,2220.0,5.48631537760703,2.608351343394094
sim_61,4.0,7.81,76.58,0.1,1.0,0.3,0.3,41.0,467.1951219512195,364.94250930544644,3337.0,3.194568470405216,1.3504815115599282
sim_62,4.0,12.51,122.27,0.1,1.0,0.3,0.3,21.0,420.57142857142856,664.3632520031831,4556.0,2.2557408282751354,0.9597246580411773
sim_63,4.0,4.0,390.48,0.1,1.0,0.3,0.3,61.0,379.655737704918,297.4492592213688,3780.0,2.138079621917835,0.7866556874206969
sim_64,4.0,8.99,298.21,0.1,1.0,0.3,0.3,62.0,354.93548387096774,268.31534594563755,4197.0,2.1419044426152865,0.817108253039196
sim_65,4.0,7.13,294.54,0.1,1.0,0.3,0.3,49.0,445.0816326530612,261.3881183951382,3978.0,2.2793430922498787,0.9470229583276156
sim_66,4.0,6.48,531.49,0.1,1.0,0.3,0.3,55.0,409.6181818181818,313.1947109102399,4034.0,1.8419873244472467,0.6614559289597022
sim_67,4.0,5.15,565.64,0.1,1.0,0.3,0.3,57.0,404.36842105263156,310.0900056989083,4017.0,1.8179548489004622,0.6799113182010939
sim_68,4.0,10.34,474.73,0.1,1.0,0.3,0.3,64.0,357.46875,308.30874180508977,4286.0,1.8335327439432574,0.7024960170867646
sim_69,4.0,12.77,453.97,0.1,1.0,0.3,0.3,63.0,310.1587301587302,300.7356169672512,4549.0,1.7673799117609008,0.6482468973978155
sim_120,4.0,2.72,88.93,0.1,1.0,0.3,0.3,15.0,787.0,754.6704357974193,2362.0,4.842139293847565,2.1032623376980175
sim_121,4.0,9.66,126.2,0.1,1.0,0.3,0.3,52.0,375.36538461538464,261.7812525495104,3844.0,2.693655289438391,1.1227690588986798
sim_122,4.0,6.18,265.25,0.1,1.0,0.3,0.3,55.0,387.8,276.0605598908919,3816.0,2.392517091084326,0.8983576432816496
sim_123,4.0,13.15,145.2,0.1,1.0,0.3,0.3,27.0,464.74074074074076,425.45614672329805,4669.0,2.1587978453646213,0.8930317816527199
sim_124,4.0,9.25,272.2,0.1,1.0,0.3,0.3,57.0,367.2456140350877,258.11722351918814,4119.0,2.2088206723864308,0.8819433267540044
sim_125,4.0,13.55,259.68,0.1,1.0,0.3,0.3,54.0,354.9074074074074,276.41322183352514,4555.0,2.0261704673543317,0.8500086388845232
sim_126,4.0,14.69,305.82,0.1,1.0,0.3,0.3,55.0,357.1272727272727,344.29110592612574,4686.0,1.8776691380138415,0.7421296307071228
sim_127,4.0,13.39,539.82,0.1,1.0,0.3,0.3,61.0,393.60655737704917,526.513284396059,4591.0,1.6452566280714391,0.6052415198562454
sim_128,4.0,10.53,585.57,0.1,1.0,0.3,0.3,67.0,337.97014925373134,275.1182633167516,4379.0,1.6758236354765972,0.6050489233444677
sim_129,4.0,14.8,457.19,0.1,1.0,0.3,0.3,60.0,366.96666666666664,347.00734702436614,4815.0,1.6839999077317505,0.5933789853113212
sim_140,4.0,5.89,53.83,0.1,1.0,0.3,0.3,26.0,633.2307692307693,762.2091025278637,2821.0,4.1227964623464315,1.8267956751893204
sim_141,4.0,11.8,87.51,0.1,1.0,0.3,0.3,12.0,26.5,30.131655558011854,4479.0,2.321676152113757,1.1461987696974834
sim_142,4.0,9.91,207.67,0.1,1.0,0.3,0.3,58.0,375.3965517241379,258.4624257128118,4139.0,2.3290224525856646,0.9378659630583059
sim_143,4.0,9.86,203.36,0.1,1.0,0.3,0.3,51.0,422.72549019607845,310.58155939547413,4133.0,2.352276404376498,0.9801152304735
sim_144,4.0,5.2,301.63,0.1,1.0,0.3,0.3,50.0,443.4,316.0838496348714,3808.0,2.3797337131348244,0.9563464576221938
sim_145,4.0,9.28,286.74,0.1,1.0,0.3,0.3,58.0,376.36206896551727,253.01292717933865,4224.0,2.184287625664637,0.9014956386750645
sim_146,4.0,9.4,412.44,0.1,1.0,0.3,0.3,70.0,316.9428571428571,258.68965884208967,4289.0,1.8781908445894897,0.678092032028023
sim_147,4.0,7.79,544.06,0.1,1.0,0.3,0.3,58.0,396.7068965517241,291.0813968765609,4161.0,1.7739578016812398,0.6233152712867477
sim_148,4.0,9.34,542.71,0.1,1.0,0.3,0.3,70.0,344.4,233.53588895193695,4201.0,1.773249682589938,0.6415946107970926
sim_149,4.0,9.92,382.5,0.1,1.0,0.3,0.3,58.0,379.2586206896552,314.8983174879126,4375.0,1.9136106981535859,0.7462150849822082
sim_50,4.0,5.05,58.6,0.1,1.0,0.3,0.3,23.0,719.0,582.0934483471667,2672.0,4.3140138629243765,1.8467855115918685
sim_51,4.0,3.33,94.8,0.1,1.0,0.3,0.3,17.0,1122.6470588235295,942.7131646087497,2446.0,4.8716537647852585,2.205328467973559
sim_52,4.0,1.57,45.09,0.1,1.0,0.3,0.3,3.0,1486.3333333333333,1891.8677426172148,1671.0,7.1709522553955045,3.85291425276614
sim_53,4.0,2.76,114.28,0.1,1.0,0.3,0.3,20.0,851.85,828.300807376161,2514.0,4.402327310150808,1.8972679385350715
